epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.714,1.76103,3.99346,1.93282,0.46623,0.10828,0.16869,0.10611,1.60608,4.30998,1.8121,0.00013224,0.00013224,0.00013224
2,659.228,1.57961,3.30746,1.83898,0.35614,0.21125,0.17374,0.09084,1.71048,4.27243,2.048,0.000264313,0.000264313,0.000264313
3,1005.33,1.59366,3.1243,1.83823,0.37184,0.24803,0.24344,0.1315,1.85165,4.16664,2.10119,0.000395054,0.000395054,0.000395054
4,1343.67,1.65897,3.03496,1.9286,0.36251,0.2518,0.26659,0.15205,1.72088,3.75516,2.06672,0.000524461,0.000524461,0.000524461
5,1686.07,1.58537,2.93759,1.84674,0.24319,0.31865,0.24864,0.14232,1.78377,3.82938,2.12334,0.000652537,0.000652537,0.000652537
6,2023.93,1.63196,2.92371,1.89233,0.39182,0.3098,0.28145,0.14287,1.84625,3.53752,2.10721,0.000650342,0.000650342,0.000650342
7,2359.14,1.62297,2.7847,1.85983,0.47587,0.27245,0.26327,0.12478,1.88689,3.60635,2.20733,0.00064701,0.00064701,0.00064701
8,2685.23,1.59182,2.7675,1.83541,0.30951,0.30913,0.30681,0.16676,1.70455,3.34281,1.99014,0.000643678,0.000643678,0.000643678
9,3018.95,1.56843,2.67694,1.81176,0.3644,0.3364,0.32397,0.17074,1.69412,3.18561,1.96085,0.000640347,0.000640347,0.000640347
10,3356.36,1.56967,2.5993,1.82348,0.35816,0.42439,0.33286,0.19287,1.73634,3.28644,2.04511,0.000637015,0.000637015,0.000637015
11,3695.91,1.5733,2.53011,1.81849,0.35208,0.38638,0.34776,0.19606,1.74781,2.86692,2.05474,0.000633683,0.000633683,0.000633683
12,4030.31,1.57043,2.47076,1.81001,0.39099,0.34407,0.33532,0.18973,1.64536,2.87443,1.91672,0.000630352,0.000630352,0.000630352
13,4370.3,1.55578,2.46504,1.80663,0.35051,0.44686,0.36273,0.22233,1.60749,2.74975,1.91272,0.00062702,0.00062702,0.00062702
14,4709.25,1.53878,2.38063,1.79106,0.49995,0.35628,0.39273,0.23546,1.74933,2.81754,2.00507,0.000623688,0.000623688,0.000623688
15,5039.56,1.53227,2.36181,1.77489,0.46508,0.43701,0.42011,0.22812,1.73884,2.62036,1.99427,0.000620357,0.000620357,0.000620357
16,5367.48,1.51167,2.25878,1.75556,0.4566,0.4539,0.41959,0.23946,1.70941,2.5631,1.9395,0.000617025,0.000617025,0.000617025
17,5693.07,1.51175,2.2994,1.75727,0.3927,0.49349,0.42086,0.25673,1.60808,2.58444,1.85387,0.000613693,0.000613693,0.000613693
18,6017.86,1.48527,2.17986,1.74767,0.48873,0.43522,0.4246,0.26329,1.59669,2.50044,1.85523,0.000610362,0.000610362,0.000610362
19,6342.2,1.49747,2.20157,1.75347,0.45516,0.46685,0.41613,0.25917,1.6522,2.54777,1.8777,0.00060703,0.00060703,0.00060703
20,6665.3,1.44251,2.09477,1.71303,0.4508,0.4606,0.41401,0.23521,1.74789,2.5342,1.995,0.000603698,0.000603698,0.000603698
21,6987.54,1.49979,2.13139,1.74923,0.54325,0.43727,0.44993,0.27119,1.62589,2.32632,1.86123,0.000600367,0.000600367,0.000600367
22,7310.86,1.44978,2.12493,1.73408,0.50372,0.4489,0.43534,0.25072,1.6626,2.4005,1.92279,0.000597035,0.000597035,0.000597035
23,7652.04,1.46643,2.07025,1.70649,0.55351,0.44806,0.48041,0.28454,1.65545,2.36592,1.90494,0.000593703,0.000593703,0.000593703
24,8206.58,1.443,2.08801,1.73093,0.47803,0.50549,0.43437,0.25999,1.66912,2.39286,1.8578,0.000590372,0.000590372,0.000590372
25,8760.57,1.45457,1.99259,1.70096,0.49855,0.44529,0.42556,0.23417,1.75707,2.40817,1.95067,0.00058704,0.00058704,0.00058704
26,9314.42,1.45324,2.00314,1.71965,0.46797,0.52699,0.46098,0.27728,1.61381,2.2537,1.79747,0.000583708,0.000583708,0.000583708
27,9874.08,1.42312,1.99736,1.71145,0.53706,0.48284,0.48763,0.29274,1.54273,2.22241,1.78416,0.000580377,0.000580377,0.000580377
28,10428.1,1.45365,1.97662,1.7042,0.5179,0.51115,0.48501,0.30599,1.47562,2.17492,1.73089,0.000577045,0.000577045,0.000577045
29,10981.7,1.40633,1.91242,1.66407,0.56887,0.47153,0.49063,0.27961,1.64592,2.15866,1.86355,0.000573713,0.000573713,0.000573713
30,11533.2,1.44512,1.97892,1.70233,0.50568,0.51986,0.49178,0.2891,1.62942,2.29192,1.88675,0.000570382,0.000570382,0.000570382
31,12078.8,1.40563,1.87937,1.67476,0.46916,0.52343,0.47891,0.28969,1.54854,2.30498,1.79853,0.00056705,0.00056705,0.00056705
32,12620.3,1.39981,1.88161,1.66883,0.55531,0.53345,0.4887,0.30094,1.62491,2.20436,1.85423,0.000563718,0.000563718,0.000563718
33,13172.5,1.42352,1.89825,1.68181,0.53368,0.53253,0.52282,0.31512,1.56491,2.0424,1.80253,0.000560387,0.000560387,0.000560387
34,13720.2,1.40284,1.85002,1.64809,0.46795,0.53387,0.48367,0.30245,1.57757,2.12053,1.77033,0.000557055,0.000557055,0.000557055
35,14272.8,1.37532,1.79162,1.65497,0.61609,0.46873,0.53044,0.34667,1.51683,2.08626,1.74272,0.000553723,0.000553723,0.000553723
36,14858.9,1.38043,1.84077,1.66206,0.52423,0.50089,0.476,0.31351,1.46387,2.08635,1.68701,0.000550392,0.000550392,0.000550392
37,15459.2,1.37241,1.82681,1.65079,0.49922,0.50017,0.46099,0.30001,1.51542,2.15598,1.73389,0.00054706,0.00054706,0.00054706
38,16040.5,1.37872,1.83061,1.65232,0.52511,0.57839,0.53087,0.3233,1.55312,2.12853,1.75424,0.000543728,0.000543728,0.000543728
39,16620.5,1.41225,1.83428,1.66902,0.56202,0.57332,0.54599,0.33403,1.528,2.01091,1.76496,0.000540397,0.000540397,0.000540397
40,17200.3,1.3934,1.79842,1.64921,0.55586,0.53426,0.53125,0.34063,1.47343,1.97293,1.74678,0.000537065,0.000537065,0.000537065
41,17581.6,1.37302,1.76921,1.63828,0.57434,0.51594,0.50931,0.32537,1.49667,1.96318,1.6938,0.000533733,0.000533733,0.000533733
42,17907.5,1.34231,1.70835,1.62868,0.53235,0.5721,0.52416,0.34972,1.41437,1.92662,1.63641,0.000530402,0.000530402,0.000530402
43,18240.9,1.37799,1.76367,1.64395,0.56782,0.57939,0.53459,0.33906,1.44681,1.96727,1.6641,0.00052707,0.00052707,0.00052707
44,18566,1.35253,1.71823,1.63214,0.52712,0.51427,0.53841,0.36301,1.42582,1.9264,1.64401,0.000523738,0.000523738,0.000523738
45,18893.2,1.34074,1.70092,1.61252,0.49804,0.56458,0.50254,0.31758,1.55361,2.14527,1.74398,0.000520407,0.000520407,0.000520407
46,19218.7,1.33431,1.65258,1.59062,0.58596,0.50014,0.52258,0.33031,1.48936,2.01034,1.70466,0.000517075,0.000517075,0.000517075
47,19543.7,1.34561,1.66815,1.59444,0.55519,0.5631,0.56847,0.36766,1.40815,1.91283,1.6766,0.000513743,0.000513743,0.000513743
48,19869.5,1.34352,1.64176,1.59335,0.60479,0.55796,0.57874,0.37892,1.43113,1.83467,1.63569,0.000510412,0.000510412,0.000510412
49,20194.5,1.33398,1.63523,1.58326,0.556,0.55925,0.52461,0.32986,1.40768,1.91887,1.63748,0.00050708,0.00050708,0.00050708
50,20519.9,1.33582,1.66152,1.60574,0.54768,0.55202,0.53992,0.33613,1.41264,1.93628,1.648,0.000503748,0.000503748,0.000503748
51,20846.6,1.33376,1.64704,1.61047,0.62627,0.51183,0.53015,0.35049,1.40159,1.92192,1.6231,0.000500417,0.000500417,0.000500417
52,21173.5,1.33376,1.6128,1.6015,0.5596,0.5443,0.52642,0.33049,1.43626,1.8408,1.7061,0.000497085,0.000497085,0.000497085
53,21499.1,1.34447,1.56931,1.58574,0.62054,0.53906,0.55405,0.34474,1.45817,1.89713,1.67908,0.000493753,0.000493753,0.000493753
54,21824.8,1.31919,1.60025,1.59404,0.5579,0.58878,0.54803,0.33908,1.50055,1.83587,1.72496,0.000490422,0.000490422,0.000490422
55,22149.4,1.31464,1.5705,1.60417,0.53047,0.59168,0.5264,0.33624,1.45357,1.93267,1.67801,0.00048709,0.00048709,0.00048709
56,22474.3,1.30254,1.54243,1.58204,0.49023,0.60418,0.52646,0.33636,1.46429,1.9337,1.65788,0.000483758,0.000483758,0.000483758
57,22802,1.31579,1.57467,1.57371,0.56082,0.59427,0.53527,0.34611,1.43564,1.90074,1.6581,0.000480427,0.000480427,0.000480427
58,23127.4,1.29786,1.57007,1.58267,0.55069,0.59065,0.53628,0.35637,1.35241,1.85833,1.5843,0.000477095,0.000477095,0.000477095
59,23452.8,1.29163,1.53111,1.5663,0.55593,0.55467,0.53176,0.34695,1.47089,1.88654,1.68136,0.000473763,0.000473763,0.000473763
60,23777,1.29615,1.54168,1.56963,0.53292,0.62763,0.5494,0.35882,1.40618,1.88303,1.61862,0.000470432,0.000470432,0.000470432
61,24100.2,1.29864,1.50905,1.55881,0.56261,0.57395,0.52516,0.34647,1.38961,1.80536,1.59872,0.0004671,0.0004671,0.0004671
62,24422.8,1.27737,1.51519,1.55846,0.57288,0.57891,0.53191,0.34861,1.38051,1.80881,1.59932,0.000463768,0.000463768,0.000463768
63,24745.4,1.29037,1.47799,1.57293,0.62013,0.5765,0.54861,0.35324,1.38829,1.79925,1.59118,0.000460437,0.000460437,0.000460437
64,25069.1,1.29409,1.50953,1.56349,0.63126,0.60806,0.57655,0.36934,1.3975,1.7291,1.59446,0.000457105,0.000457105,0.000457105
65,25390.5,1.26754,1.46252,1.55174,0.58692,0.59306,0.54385,0.3542,1.40609,1.8287,1.60336,0.000453773,0.000453773,0.000453773
66,25711.9,1.27707,1.431,1.54826,0.58918,0.57908,0.56163,0.369,1.41182,1.80009,1.61505,0.000450442,0.000450442,0.000450442
67,26031.2,1.25267,1.41589,1.51042,0.59523,0.54057,0.53569,0.3429,1.43086,1.8091,1.64032,0.00044711,0.00044711,0.00044711
68,26352.4,1.26012,1.4369,1.5324,0.59322,0.55266,0.54452,0.34781,1.36862,1.72119,1.57808,0.000443778,0.000443778,0.000443778
69,26674.8,1.28531,1.48459,1.56873,0.61457,0.58002,0.56566,0.38222,1.31346,1.72243,1.52892,0.000440447,0.000440447,0.000440447
70,26996.1,1.2733,1.42431,1.55014,0.57543,0.54198,0.52053,0.35481,1.33853,1.77097,1.54044,0.000437115,0.000437115,0.000437115
71,27315.2,1.26427,1.42162,1.55573,0.59078,0.55787,0.51933,0.34289,1.35421,1.80354,1.59026,0.000433783,0.000433783,0.000433783
72,27633,1.27223,1.45135,1.55678,0.55354,0.59293,0.51034,0.32397,1.46465,1.81368,1.64854,0.000430452,0.000430452,0.000430452
73,27949.4,1.25197,1.44449,1.52761,0.47984,0.58623,0.49523,0.31787,1.39106,1.8169,1.59758,0.00042712,0.00042712,0.00042712
74,28265.3,1.28568,1.44081,1.56027,0.61076,0.55978,0.55141,0.36069,1.40095,1.7467,1.61752,0.000423788,0.000423788,0.000423788
75,28584.4,1.2602,1.4245,1.52423,0.49192,0.55725,0.49749,0.3292,1.34028,1.81922,1.55661,0.000420457,0.000420457,0.000420457
76,28901.6,1.29902,1.43977,1.54439,0.5319,0.55016,0.49775,0.33736,1.34424,1.81554,1.55987,0.000417125,0.000417125,0.000417125
77,29218.9,1.25482,1.38126,1.53326,0.53336,0.56043,0.549,0.37219,1.28981,1.75099,1.53229,0.000413793,0.000413793,0.000413793
78,29533.4,1.23975,1.36289,1.51579,0.61426,0.58324,0.56532,0.38324,1.31888,1.65996,1.5297,0.000410462,0.000410462,0.000410462
79,29848.4,1.26245,1.38696,1.53669,0.54375,0.59567,0.53284,0.36026,1.37245,1.78689,1.5976,0.00040713,0.00040713,0.00040713
80,30165.3,1.25779,1.37078,1.51852,0.54911,0.57911,0.53022,0.3431,1.39223,1.75163,1.57779,0.000403798,0.000403798,0.000403798
81,30482.3,1.23793,1.36714,1.50334,0.5635,0.56892,0.53805,0.35219,1.34182,1.74507,1.54927,0.000400467,0.000400467,0.000400467
82,30796.9,1.22992,1.36588,1.50362,0.54108,0.6417,0.55391,0.37799,1.33052,1.7032,1.55544,0.000397135,0.000397135,0.000397135
83,31111.6,1.23931,1.33294,1.50315,0.57551,0.55391,0.52317,0.36941,1.26136,1.71717,1.50633,0.000393803,0.000393803,0.000393803
84,31426.8,1.20256,1.28159,1.46005,0.52943,0.59427,0.52367,0.34585,1.3667,1.77259,1.5686,0.000390472,0.000390472,0.000390472
85,31740.9,1.23929,1.37142,1.49924,0.54996,0.53868,0.51576,0.3427,1.39954,1.82575,1.60576,0.00038714,0.00038714,0.00038714
86,32054.6,1.2353,1.3344,1.50468,0.49421,0.54919,0.49161,0.32073,1.38607,1.79336,1.5681,0.000383808,0.000383808,0.000383808
87,32368.4,1.24063,1.33538,1.50724,0.52426,0.535,0.48374,0.32277,1.41117,1.77656,1.59568,0.000380477,0.000380477,0.000380477
88,32682.8,1.22958,1.35396,1.49831,0.59564,0.5269,0.55164,0.37264,1.34533,1.79628,1.55514,0.000377145,0.000377145,0.000377145
89,32997.4,1.19802,1.30899,1.47906,0.56016,0.5245,0.49974,0.33752,1.34925,1.8329,1.55339,0.000373813,0.000373813,0.000373813
90,33314.2,1.23464,1.33787,1.51004,0.55685,0.58272,0.54283,0.36156,1.34508,1.80697,1.53628,0.000370482,0.000370482,0.000370482
91,33629.1,1.19401,1.26315,1.46746,0.60188,0.52266,0.53284,0.35215,1.39733,1.79254,1.5899,0.00036715,0.00036715,0.00036715
92,33945.4,1.17623,1.29812,1.46762,0.59488,0.53287,0.53802,0.36972,1.2729,1.70825,1.50818,0.000363818,0.000363818,0.000363818
93,34264.1,1.20541,1.33773,1.50686,0.53408,0.54735,0.50813,0.35169,1.27281,1.78468,1.49308,0.000360487,0.000360487,0.000360487
94,34580.3,1.22148,1.32667,1.4857,0.55464,0.55337,0.51079,0.35018,1.27447,1.77461,1.48061,0.000357155,0.000357155,0.000357155
95,34896,1.1921,1.2663,1.46247,0.56761,0.57535,0.52236,0.36149,1.24641,1.74747,1.46179,0.000353823,0.000353823,0.000353823
96,35210.4,1.22485,1.31241,1.48843,0.51401,0.58194,0.50644,0.35655,1.25095,1.78669,1.47919,0.000350492,0.000350492,0.000350492
97,35525.9,1.2195,1.25094,1.48186,0.54536,0.50932,0.49145,0.33375,1.31922,1.79098,1.51695,0.00034716,0.00034716,0.00034716
98,35840.6,1.20407,1.28864,1.48215,0.53459,0.57352,0.51306,0.3406,1.38396,1.83415,1.54956,0.000343828,0.000343828,0.000343828
99,36154.5,1.20666,1.25869,1.47521,0.54346,0.54847,0.51945,0.3499,1.29431,1.77084,1.49412,0.000340497,0.000340497,0.000340497
100,36468.3,1.18385,1.24318,1.47318,0.54552,0.54201,0.51593,0.35523,1.32157,1.74506,1.54826,0.000337165,0.000337165,0.000337165
101,36785.1,1.18977,1.26561,1.4694,0.536,0.59163,0.50828,0.3574,1.23947,1.80107,1.46416,0.000333833,0.000333833,0.000333833
102,37106.1,1.18571,1.24185,1.47226,0.53812,0.57204,0.51039,0.35312,1.26628,1.78297,1.48632,0.000330502,0.000330502,0.000330502
103,37420.7,1.19517,1.22176,1.47394,0.52941,0.53719,0.49537,0.33254,1.35597,1.8415,1.54045,0.00032717,0.00032717,0.00032717
104,37738.6,1.17225,1.25865,1.47014,0.51306,0.56537,0.48816,0.33188,1.25448,1.87588,1.47663,0.000323839,0.000323839,0.000323839
105,38058.8,1.19695,1.28135,1.48077,0.4628,0.54527,0.50252,0.34652,1.28815,1.80362,1.49892,0.000320507,0.000320507,0.000320507
106,38376,1.179,1.21835,1.45223,0.56538,0.52449,0.49338,0.33495,1.27652,1.83184,1.49248,0.000317175,0.000317175,0.000317175
107,38692.4,1.17987,1.20226,1.44998,0.55092,0.55761,0.50618,0.34976,1.23647,1.79585,1.45335,0.000313844,0.000313844,0.000313844
108,39008.3,1.17279,1.21599,1.46144,0.51311,0.57945,0.50265,0.343,1.24431,1.81958,1.46584,0.000310512,0.000310512,0.000310512
109,39323,1.17756,1.19595,1.44956,0.52505,0.52799,0.49188,0.34048,1.2372,1.79673,1.46181,0.00030718,0.00030718,0.00030718
110,39637.8,1.17917,1.21057,1.45905,0.5001,0.54929,0.49163,0.33851,1.24748,1.89028,1.45529,0.000303849,0.000303849,0.000303849
111,39952.9,1.19738,1.21274,1.47577,0.54881,0.54581,0.49044,0.34136,1.25123,1.87637,1.47735,0.000300517,0.000300517,0.000300517
112,40267.5,1.16678,1.20744,1.46263,0.49527,0.59548,0.5049,0.34721,1.21486,1.8397,1.4608,0.000297185,0.000297185,0.000297185
113,40582.2,1.17277,1.23104,1.46057,0.54216,0.52818,0.50131,0.34568,1.24737,1.85585,1.45402,0.000293854,0.000293854,0.000293854
114,40895.2,1.15978,1.18994,1.44076,0.52858,0.59706,0.51408,0.35102,1.2661,1.86402,1.4826,0.000290522,0.000290522,0.000290522
115,41208.5,1.1593,1.16115,1.43202,0.54402,0.54067,0.4968,0.34166,1.23883,1.83258,1.45149,0.00028719,0.00028719,0.00028719
116,41523.9,1.17419,1.19476,1.43532,0.54027,0.52648,0.46877,0.31976,1.27726,1.90845,1.50755,0.000283859,0.000283859,0.000283859
117,41840.9,1.18798,1.21175,1.4537,0.4971,0.55036,0.47801,0.3368,1.22653,1.87726,1.46883,0.000280527,0.000280527,0.000280527
118,42156.7,1.14894,1.198,1.42844,0.53552,0.56402,0.50944,0.3557,1.2194,1.79515,1.44424,0.000277195,0.000277195,0.000277195
119,42475.8,1.16317,1.16828,1.44704,0.52148,0.5525,0.49745,0.34661,1.23351,1.8006,1.43797,0.000273864,0.000273864,0.000273864
120,42791.9,1.14919,1.15629,1.42454,0.5556,0.53696,0.51316,0.35373,1.25368,1.84634,1.47335,0.000270532,0.000270532,0.000270532
121,43108,1.13391,1.1204,1.41913,0.52055,0.55071,0.48939,0.33435,1.29137,1.89432,1.50647,0.0002672,0.0002672,0.0002672
122,43424.1,1.14404,1.13815,1.42987,0.53861,0.52072,0.49377,0.35012,1.21256,1.8966,1.45296,0.000263869,0.000263869,0.000263869
123,43741.1,1.13738,1.15776,1.43644,0.55222,0.54782,0.49725,0.34131,1.28889,1.84116,1.48953,0.000260537,0.000260537,0.000260537
124,44058.7,1.12631,1.12352,1.41248,0.50752,0.57175,0.50737,0.34429,1.29041,1.84669,1.52275,0.000257205,0.000257205,0.000257205
125,44373.4,1.14721,1.15897,1.42924,0.4813,0.60875,0.51946,0.35689,1.24122,1.82156,1.46961,0.000253874,0.000253874,0.000253874
126,44688.4,1.1311,1.12277,1.42691,0.55987,0.53836,0.50556,0.33894,1.24259,1.86757,1.46223,0.000250542,0.000250542,0.000250542
127,45004.6,1.11921,1.10716,1.39903,0.54343,0.51598,0.4911,0.33135,1.26869,1.87296,1.45472,0.00024721,0.00024721,0.00024721
128,45320.4,1.12933,1.12972,1.40946,0.56895,0.50628,0.49395,0.33536,1.26032,1.8687,1.47216,0.000243879,0.000243879,0.000243879
